location_key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd
MV,78.627,28.3,9.2,7.4,67.456,42.148999999999994,25.6,13.4,,6.4282,4.5627,1006.9387820000001,207.902649
MW,63.798,14.5,4.5,35.3,325.106,212.388,115.0,16.4,,0.4386,0.0358,32.259384000000004,3.4163940000000004
MX,74.992,14.0,13.5,11.0,184.37900000000002,95.815,36.7,15.7,1.5,2.3961,2.3827,494.677643,204.219147
MY,75.997,21.5,16.7,6.7,160.38299999999998,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231
MZ,60.163000000000004,16.6,3.3,54.0,389.52099999999996,268.188,110.0,18.4,,0.6847,0.0838,21.071156,1.558282
,63.373000000000005,21.4,4.5,29.0,349.31699999999995,248.938,145.0,21.3,,1.954,0.4182,447.28064000000006,34.593563
NC,77.14878,,21.8,,98.00299999999999,56.743,,,,,,,
NE,62.023999999999994,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413000000001
NG,54.332,5.8,3.1,75.7,364.32099999999997,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425
NI,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08338899999998,62.617363
NL,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,,11.1839,3.6054,4911.44043,544.528137
NO,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.1625980000001
NP,70.47800000000001,22.8,7.2,26.7,167.31599999999997,129.611,193.8,21.8,,3.1084,0.7486,47.915363,27.694385999999998
NR,,40.0,12.0,26.4,,,,,,7.6636,1.3462,1106.750977,10.232119
NZ,81.858537,16.0,6.2,4.7,,,7.2,10.1,,12.4482,3.5898,3937.2219240000004,534.55957
OM,77.633,11.1,10.1,9.8,101.38799999999999,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762
PA,78.329,6.1,7.7,13.1,148.159,76.653,25.8,13.0,,3.0741,1.5687,1112.3032230000001,370.06402599999996
